对象名称,对象 Api Name,字段名称,字段 Api Name,字段类型,是否必填,选项值
案場,object_8W9cb__c,锁定规则,lock_rule,lock_rule,否,
案場,object_8W9cb__c,工班,shift_time__c,引用字段,否,
案場,object_8W9cb__c,驗屋日期2,field_qEaXB__c,日期,否,
案場,object_8W9cb__c,平面圖,field_3T38o__c,图片,否,
案場,object_8W9cb__c,維修費用2,field_2jM31__c,金额,否,
案場,object_8W9cb__c,工班師父,field_u1wpv__c,单行文本,否,
案場,object_8W9cb__c,施工前備註,field_sF6fn__c,单行文本,否,
案場,object_8W9cb__c,保護板坪數,field_27g6n__c,数字,否,
案場,object_8W9cb__c,維修完成照片1,field_PuaLk__c,图片,否,
案場,object_8W9cb__c,缺失分類1,field_OmPo8__c,多选,否,刮傷;矽力康;空心;不平;區隔條;異音;其他
案場,object_8W9cb__c,維修日期1,field_r1mp8__c,日期,否,
案場,object_8W9cb__c,缺失照片1,field_tyRfE__c,图片,否,
案場,object_8W9cb__c,作废前生命状态,life_status_before_invalid,单行文本,否,
案場,object_8W9cb__c,负责人主属部门,owner_department,单行文本,否,
案場,object_8W9cb__c,缺失備註1,field_nht8k__c,单行文本,否,
案場,object_8W9cb__c,锁定状态,lock_status,单选,否,未锁定;锁定
案場,object_8W9cb__c,package,package,单行文本,否,
案場,object_8W9cb__c,创建时间,create_time,日期时间,否,
案場,object_8W9cb__c,施工日期,field_23pFq__c,日期,否,
案場,object_8W9cb__c,維修備註2,field_lZaAp__c,单行文本,否,
案場,object_8W9cb__c,維修完成照片2,field_d2O5i__c,图片,否,
案場,object_8W9cb__c,施工前照片,field_V3d91__c,图片,否,
案場,object_8W9cb__c,version,version,数字,否,
案場,object_8W9cb__c,创建人,created_by,人员,否,
案場,object_8W9cb__c,相关团队,relevant_team,embedded_object_list,否,
案場,object_8W9cb__c,驗收照片,field_v1x3S__c,图片,否,
案場,object_8W9cb__c,維修單,field_t2GYf__c,查找关联(多选),否,
案場,object_8W9cb__c,归属部门,data_own_department,部门,否,
案場,object_8W9cb__c,舖設坪數,field_B2gh1__c,数字,否,
案場,object_8W9cb__c,編號,name,自增编号,是,
案場,object_8W9cb__c,維修費用1,field_7ndUg__c,金额,否,
案場,object_8W9cb__c,保固日期,field_f0mz3__c,日期,否,
案場,object_8W9cb__c,少請坪數,field_i2Q1g__c,计算字段,否,
案場,object_8W9cb__c,_id,_id,单行文本,否,
案場,object_8W9cb__c,工地狀況照片,field_03U9h__c,图片,否,
案場,object_8W9cb__c,棟別,field_WD7k1__c,单行文本,否,
案場,object_8W9cb__c,維修備註1,field_sijGR__c,单行文本,否,
案場,object_8W9cb__c,tenant_id,tenant_id,单行文本,是,
案場,object_8W9cb__c,請款單,field_npLvn__c,查找关联,否,
案場,object_8W9cb__c,数据来源,origin_source,单选,否,数据同步
案場,object_8W9cb__c,加锁人,lock_user,人员,否,
案場,object_8W9cb__c,維修師父1,field_xFCKf__c,查找关联(多选),否,
案場,object_8W9cb__c,is_deleted,is_deleted,布尔值,否,
案場,object_8W9cb__c,缺失影片,field_1zk34__c,附件,否,
案場,object_8W9cb__c,object_describe_api_name,object_describe_api_name,单行文本,是,
案場,object_8W9cb__c,外部负责人,out_owner,人员,否,
案場,object_8W9cb__c,工班備註,field_V32Xl__c,单行文本,否,
案場,object_8W9cb__c,施工完成,construction_completed__c,布尔值,否,
案場,object_8W9cb__c,负责人,owner,人员,是,
案場,object_8W9cb__c,缺失分類2,field_32Hxs__c,单选,否,示例选项;其他
案場,object_8W9cb__c,完工照片,field_3Fqof__c,图片,否,
案場,object_8W9cb__c,最后修改时间,last_modified_time,日期时间,否,
案場,object_8W9cb__c,生命状态,life_status,单选,否,未生效;审核中;正常;变更中;作废
案場,object_8W9cb__c,工單,field_k7e6q__c,查找关联,否,
案場,object_8W9cb__c,最后修改人,last_modified_by,人员,否,
案場,object_8W9cb__c,樓層,field_Q6Svh__c,数字,否,
案場,object_8W9cb__c,外部企业,out_tenant_id,单行文本,否,
案場,object_8W9cb__c,业务类型,record_type,record_type,否,
案場,object_8W9cb__c,驗收備註,field_n37jC__c,单行文本,否,
案場,object_8W9cb__c,標籤,field_23Z5i__c,多选,否,準備中;不可施工;可施工;已完工;需維修;維修完成;其他
案場,object_8W9cb__c,戶別,field_XuJP2__c,单行文本,否,
案場,object_8W9cb__c,維修日期2,field_2io60__c,单行文本,否,
案場,object_8W9cb__c,商機,field_1P96q__c,查找关联,否,
案場,object_8W9cb__c,驗屋日期1,field_xxa7B__c,日期,否,
案場,object_8W9cb__c,工地備註,field_g18hX__c,多行文本,否,
案場,object_8W9cb__c,工地坪數,field_tXAko__c,数字,否,
案場,object_8W9cb__c,階段,field_z9H6O__c,单选,否,準備中;施工前場勘;施工;驗收;缺失維修;其他
案場,object_8W9cb__c,缺失備註2,field_dXrfQ__c,单行文本,否,
案場,object_8W9cb__c,order_by,order_by,数字,否,
案場,object_8W9cb__c,缺失照片2,field_62279__c,图片,否,
案場,object_8W9cb__c,施工前缺失,field_W2i6j__c,图片,否,
案場,object_8W9cb__c,案場類型,field_dxr31__c,单选,否,工地;樣品屋;民宅;其他
案場,object_8W9cb__c,維修師父2,field_3dhaY__c,单行文本,否,
